"Parameter","Type","Mean","True","RelBias","RelMSE","RelRMSE","Cov95"
"beta[1]","Beta",-1.00723735138749,-1,0.00723735138748949,0.000616874346263969,0.0248369552534921,1
"beta[2]","Beta",0.980060696926057,1,-0.0199393030739431,0.00161154945095957,0.0401441085460815,1
"beta[3]","Beta",0.514393257584823,0.5,0.0287865151696469,0.00276992554500333,0.0526300821299315,1
"gamma[1]","Gamma",0.0485760353656216,0.05,-0.0284792926875686,0.32716154047355,0.571980367209881,1
"gamma[2]","Gamma",0.190647045126971,0.1,0.90647045126971,2.38200612459436,1.54337491381529,1
"gamma[3]","Gamma",0.129890692724071,0.1,0.298906927240714,0.932739246660157,0.965784265071738,1
"gamma[4]","Gamma",0.125127952989437,0.15,-0.165813646737088,0.500331842593961,0.707341390414813,1
"Lambda_Cl_1","Lambda_Cl",NA,NA,1056143330.8849,1.11972602928583e+20,10581710775.1338,0.751918158567775
"Epsilon_Cl_1","Epsilon_Cl",NA,NA,0.00149891014145099,0.000906264655051385,0.0301042298531516,1
"Lambda_Cl_2","Lambda_Cl",NA,NA,2073.8570647945,6670626913.68296,81673.9059533886,0.822981366459627
"Epsilon_Cl_2","Epsilon_Cl",NA,NA,-0.104968329991285,0.0321579315392629,0.179326326955255,1
"Lambda_Cl_3","Lambda_Cl",NA,NA,950139814.053018,76429312852556562432,8742385993.11175,0.877717391304348
"Epsilon_Cl_3","Epsilon_Cl",NA,NA,-0.158818364288885,0.0498960746516173,0.223374292727738,1
"Lambda_Cl_4","Lambda_Cl",NA,NA,184737880.212482,15080013347664455680,3883299286.38837,0.857142857142857
"Epsilon_Cl_4","Epsilon_Cl",NA,NA,-0.157069543676835,0.0447098335983781,0.211446999501951,1
